repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
flutter-webrtc,6.66,3.0,11.56,1.22,1.0,0.68,40.0,0.0,234.15
shiro,5.03,3.0,5.22,1.79,1.0,1.61,19.84,1.0,80.66
android-mvp-architecture,5.82,3.0,6.53,1.38,1.0,0.81,14.11,0.0,36.02
moco,5.81,5.0,5.76,1.54,1.0,0.85,34.57,1.0,363.29
android-times-square,4.55,4.0,5.66,1.23,1.0,0.6,25.87,0.0,134.51
GT,3.9,2.0,5.14,1.3,1.0,0.66,13.67,0.0,80.57
OpenHub,6.76,4.0,7.58,1.63,1.0,1.18,32.93,1.0,130.04
guide-rpc-framework,4.69,4.0,4.15,1.23,1.0,0.65,1.23,0.0,3.64
ticker,4.61,4.0,4.76,1.32,1.0,0.7,27.61,0.0,110.13
crate,7.57,5.0,11.08,1.65,1.0,0.98,50.42,1.0,697.22
mcaselector,6.88,5.0,7.01,2.54,1.0,3.3,23.11,1.0,172.93
serve,5.8,3.0,7.26,1.47,1.0,0.9,63.92,3.0,327.67
leet-code,2.02,2.0,1.9,1.0,1.0,0.0,1.09,0.0,2.95
BottomNavigation,7.53,5.5,7.82,1.43,1.0,0.73,69.27,4.5,162.14
frontend-maven-plugin,5.6,3.0,6.25,1.73,1.0,0.95,7.05,1.0,28.25
signal-cli,7.02,4.0,11.9,1.54,1.0,2.08,62.97,1.0,460.93
LSPosed_mod,5.57,3.0,7.23,1.62,1.0,1.26,50.2,0.0,327.87
cyberduck,6.39,4.0,8.82,1.35,1.0,0.76,65.51,0.0,1010.24
folib,6.88,4.0,8.33,1.34,1.0,0.76,41.82,1.0,488.55
dragonwell8,,,0.0,,,0.0,,,0.0
zotfile,,,0.0,,,0.0,,,0.0
jitsi,5.44,3.0,8.26,1.9,1.0,2.53,39.37,0.0,211.33
ImagePicker,5.83,3.0,6.27,1.49,1.0,0.77,23.08,0.0,115.57
open-location-code,4.96,3.0,6.29,1.18,1.0,0.46,4.55,0.0,11.36
failsafe,6.39,6.0,5.35,2.06,1.0,1.74,19.18,1.0,56.38
pdfsam,6.97,5.0,6.49,1.4,1.0,0.99,4.96,0.0,22.81
BGARefreshLayout-Android,5.15,3.0,5.57,1.41,1.0,0.75,9.8,1.0,42.54
geoserver,7.53,5.0,8.83,1.82,1.0,1.48,42.63,1.0,387.0
streampark,7.47,5.0,7.89,1.28,1.0,0.65,18.96,0.0,71.5
jabref,,,0.0,,,0.0,,,0.0
java-learning,1.08,1.0,1.12,1.29,1.0,0.51,0.6,0.0,2.92
fory,5.33,3.0,8.47,2.13,1.0,4.16,46.46,0.0,324.81
fastjson2,2.84,2.0,4.82,1.19,1.0,1.55,276.15,0.0,20256.76
InternetArchitect,4.68,3.0,4.64,1.16,1.0,0.68,63.77,0.0,303.22
android-volley,5.09,3.0,5.39,1.89,1.0,2.76,15.82,0.0,94.17
camunda-bpm-platform,6.28,4.0,7.6,1.65,1.0,1.1,86.64,1.0,2104.0
CircleIndicator,6.51,5.0,5.14,1.62,2.0,0.68,8.51,1.0,22.81
android-autofittextview,5.38,4.0,5.15,1.38,1.0,0.52,40.75,1.5,107.67
coursera-android,4.25,4.0,3.67,1.5,1.0,0.66,3.36,0.0,35.35
FairEmail,4.73,2.0,7.9,1.27,1.0,0.79,33.41,0.0,505.77
malmo,7.05,5.0,7.35,2.14,2.0,2.72,12.85,1.0,30.4
spring-boot-starter,4.54,4.0,6.41,1.22,1.0,0.52,16.18,0.0,153.05
hmily,5.37,4.0,4.84,1.22,1.0,0.57,10.65,0.0,56.23
dolby_beta,4.15,4.0,5.5,1.45,1.0,0.82,7.95,1.0,49.92
maxwell,6.11,4.0,7.2,1.62,1.0,0.81,32.14,0.0,157.69
javassist,3.39,1.0,5.9,1.55,1.0,1.35,43.91,0.0,313.85
OpenPDF,5.94,4.0,7.78,1.85,1.0,5.74,91.43,1.0,595.98
fernflower,4.38,1.0,7.75,1.24,1.0,0.64,33.4,0.0,404.83
ShineButton,4.83,2.0,5.7,1.62,1.0,0.82,23.62,0.0,94.18
aws-sdk-java,,,0.0,,,0.0,,,0.0
FloatWindow,3.77,2.0,4.14,1.27,1.0,0.54,9.73,1.0,27.38
powermock,3.44,2.0,4.02,1.24,1.0,0.64,22.71,0.0,281.34
JKeyboardPanelSwitch,5.2,3.0,5.07,1.3,1.0,0.46,7.38,0.0,13.71
syncthing-android,6.51,2.5,9.14,1.69,1.0,1.12,9.05,0.0,24.89
CoordinatorTabLayout,5.29,3.0,5.57,1.41,1.0,0.51,9.41,0.0,32.75
campus-imaotai,6.34,5.0,5.74,1.41,1.0,1.17,20.38,1.0,78.43
tx-lcn,4.95,4.0,4.04,1.21,1.0,0.63,6.34,0.0,43.44
jmonkeyengine,7.68,5.0,8.27,1.43,1.0,0.71,68.69,1.0,450.74
jshERP,5.99,3.0,9.96,1.33,1.0,0.54,1642.22,13.0,8174.19
BGABanner-Android,5.0,3.0,6.02,1.58,2.0,0.6,26.28,1.0,155.7
mlkit,7.73,5.0,8.49,1.53,1.0,0.67,9.53,0.0,36.97
AndroidWiFiADB,2.87,2.0,3.15,1.5,1.0,1.07,12.13,0.0,23.72
lilishop,7.62,5.0,8.23,1.31,1.0,0.57,13.65,0.0,93.95
FlatLaf,3.86,2.0,5.51,3.54,2.0,3.96,61.28,3.0,338.3
SmartCropper,6.25,3.0,7.39,1.33,1.0,0.49,122.5,0.0,408.12
ShedLock,6.07,5.0,4.68,2.12,2.0,1.98,7.7,0.0,26.59
HaE,4.44,2.0,4.96,1.7,1.0,1.59,12.9,0.0,36.68
bitcoin-wallet,7.53,4.0,9.78,1.71,1.0,1.12,5.41,0.0,21.75
LoadingDrawable,6.51,4.0,6.56,1.45,1.0,0.53,15.83,1.0,27.99
chunjun,7.14,4.0,7.43,1.57,1.0,0.82,20.7,1.0,119.34
Tangram-Android,5.26,3.0,7.16,1.68,1.0,1.14,23.21,0.0,121.16
tiny-spring,3.08,2.0,3.23,1.15,1.0,0.41,2.37,0.0,6.31
bistoury,4.84,3.0,5.85,1.28,1.0,0.72,21.42,1.0,119.19
ExpandableTextView,5.13,4.0,6.03,1.73,1.0,1.1,11.8,0.0,39.4
jodd,3.99,3.0,4.48,1.44,1.0,1.33,12.95,0.0,59.23
hawk,3.62,2.0,4.24,1.04,1.0,0.2,12.96,1.0,25.52
ViewPagerCards,5.33,6.0,4.85,1.56,2.0,0.53,2.22,0.0,3.7
jetty.project,5.58,3.0,6.56,1.63,1.0,1.56,25.5,0.0,248.04
ripme,5.01,4.0,3.46,2.54,2.0,1.29,28.27,4.0,94.42
camunda,7.2,5.0,9.43,1.37,1.0,0.98,30.56,1.0,244.57
XChange,6.0,4.0,6.51,1.49,1.0,0.9,24.98,0.0,724.29
java-tron,8.82,7.0,11.17,1.78,1.0,2.01,83.22,1.0,1271.32
CC,4.97,4.0,4.74,1.26,1.0,0.56,16.32,0.0,129.76
Create,11.1,9.0,10.48,1.75,2.0,1.15,29.47,3.0,118.41
NullAway,4.76,2.0,9.13,1.2,1.0,0.48,58.38,0.0,362.13
freeplane,4.59,3.0,6.35,1.51,1.0,1.25,45.91,1.0,507.03
XCL-Charts,7.74,3.0,9.81,2.18,1.0,1.55,49.04,4.0,157.8
greys-anatomy,4.07,3.0,4.32,1.15,1.0,0.55,6.77,0.0,21.89
Bolts-Android,3.0,2.0,3.52,1.09,1.0,0.41,19.01,0.0,150.35
effective-java-3e-source-code,1.13,1.0,1.08,1.19,1.0,0.66,1.33,0.0,3.48
awaitility,3.18,1.0,4.56,1.19,1.0,0.59,18.58,0.0,123.73
Phoenix,4.33,2.5,4.82,1.67,1.0,0.96,7.54,0.0,19.17
TwinklingRefreshLayout,4.28,2.0,4.78,1.37,1.0,0.66,36.27,0.0,214.68
LiveEventBus,3.23,2.0,3.55,1.11,1.0,0.37,4.04,0.0,16.92
BigImageViewer,4.61,3.0,4.82,1.29,1.0,0.53,12.81,1.0,61.29
Leetcode,1.55,1.0,1.96,1.0,1.0,0.02,0.29,0.0,7.39
screw,4.99,3.0,4.47,1.35,1.0,0.79,5.24,0.0,9.68
hello-java,0.64,0.0,1.01,1.33,1.0,0.77,0.47,0.0,2.06
BadgeView,4.34,2.0,5.35,1.31,1.0,0.58,49.89,0.0,220.94
tech-weekly,2.89,2.0,3.53,1.02,1.0,0.16,2.12,0.0,9.84
XposedInstaller,4.9,2.0,6.77,1.42,1.0,0.85,8.52,0.0,29.79
RichText,4.27,2.0,5.84,1.45,1.0,0.85,10.55,0.0,45.94
BlurView,5.9,3.5,5.68,1.5,1.0,0.73,7.0,1.0,14.2
bundletool,9.68,7.0,8.97,1.27,1.0,1.19,83.32,6.0,532.85
leetcode-editor,6.32,4.0,6.03,1.74,1.0,1.18,20.15,0.0,113.55
GuideView,3.74,2.0,4.5,1.37,1.0,0.73,8.23,1.0,35.28
java,7.33,6.0,10.12,1.6,1.0,2.72,242.15,1.0,2097.01
DataMiningAlgorithm,2.29,2.0,2.26,1.09,1.0,0.36,9.96,0.0,36.26
TinyPinyin,2.06,1.0,2.95,1.09,1.0,0.34,8.75,0.0,57.8
android-iconify,3.51,3.0,3.72,1.23,1.0,0.43,5.19,1.0,15.31
RxJavaSamples,4.55,3.0,5.37,1.4,1.0,0.74,1.6,0.0,3.8
sofa-rpc,5.21,3.0,5.49,1.32,1.0,0.63,24.44,0.0,128.24
IDDD_Samples,4.74,3.0,5.57,1.66,1.0,1.07,27.33,5.0,93.39
Launcher3,7.24,3.0,10.9,1.47,1.0,0.86,63.68,0.0,728.69
learning-spark,2.83,2.0,3.45,1.02,1.0,0.12,1.8,0.0,12.09
Conductor,5.48,3.0,6.2,1.35,1.0,0.66,71.34,0.0,406.34
shopizer,7.94,4.0,9.72,1.68,1.0,0.98,34.15,2.0,130.94
BackgroundLibrary,4.79,4.0,4.83,1.21,1.0,0.41,34.18,0.0,222.09
xboot,7.42,6.0,6.82,1.21,1.0,0.53,2.66,0.0,9.35
jstorm,5.54,4.0,6.57,1.55,1.0,2.01,42.37,1.0,526.01
Timeline-View,9.0,9.0,8.49,1.5,1.5,0.71,453.5,453.5,639.93
DSBridge-Android,2.98,2.0,3.9,1.11,1.0,0.31,15.98,0.0,72.19
react-native-share,5.59,3.0,4.92,2.07,2.0,0.91,8.61,8.0,11.37
My-Blog,4.76,3.0,5.8,1.05,1.0,0.39,29.55,5.0,62.49
Sui,4.93,3.0,5.72,1.18,1.0,0.41,14.55,1.0,66.22
pixel-dungeon,5.72,4.0,7.32,2.54,2.0,1.65,12.42,1.0,61.69
sticky-headers-recyclerview,4.62,2.0,4.95,1.28,1.0,0.53,3.24,0.0,6.68
PCAPdroid,9.36,6.0,11.97,1.56,1.0,0.89,88.39,0.0,673.86
AndServer,5.02,3.0,6.3,1.54,1.0,1.19,48.05,1.0,244.82
yacy_search_server,5.34,4.0,6.47,1.37,1.0,0.76,46.83,0.0,301.34
uncle-novel,7.29,5.0,8.77,1.66,1.0,0.85,10.42,0.0,35.72
Terasology,6.16,4.0,7.86,1.45,1.0,0.86,25.25,0.0,171.51
RoaringBitmap,5.57,5.0,4.83,1.14,1.0,0.46,257.97,0.0,1862.44
spotbugs,4.07,2.0,7.71,1.37,1.0,0.87,25.68,0.0,366.01
MaterialSearchView,4.05,2.0,6.28,1.32,1.0,0.52,22.66,1.0,132.52
ahbottomnavigation,5.11,2.0,7.54,1.17,1.0,0.38,57.48,0.0,313.31
CircleProgress,5.76,6.0,4.22,1.68,2.0,0.69,85.76,1.0,244.34
JCTools,4.67,3.0,5.3,4.37,3.0,3.47,22.48,0.0,87.56
sofa-jraft,6.24,3.0,8.6,1.46,1.0,1.09,75.87,1.0,317.74
blossom,5.72,3.0,6.51,1.34,1.0,0.67,6.98,0.0,26.82
MarqueeView,5.41,4.0,4.89,1.36,1.0,0.49,5.45,0.0,12.09
SwipeDelMenuLayout,3.1,2.0,3.34,1.25,1.0,0.44,5.2,0.0,28.6
NoHttp,4.46,3.0,4.74,1.5,1.0,0.8,45.65,1.0,302.14
akhq,8.19,6.0,7.92,1.3,1.0,0.53,29.43,0.0,148.77
learning-note,2.19,2.0,2.41,1.17,1.0,0.55,2.89,0.0,21.75
BannerViewPager,5.41,3.0,7.2,1.41,1.0,0.72,47.82,0.0,227.59
DevOps-Projects,5.77,5.0,4.4,1.19,1.0,0.52,22.75,0.0,132.48
mpush,4.73,3.0,5.32,1.34,1.0,0.7,24.57,1.0,171.61
kylin,7.8,5.0,9.66,1.5,1.0,0.84,137.73,1.0,5219.73
